"Magento Development","Разработка на Magento"
"Yandex Delivery","Яндекс Доставка"
"API credentials","Реквизиты API"
"API keys","API ключи"
"Cart widget code","Код корзинного виджета"
"Default sender","Отправитель по умолчанию"
"API keys data","Используется в API"
"Default warehouse","Склад по умолчанию"
"Default requisite","Реквизиты по умолчанию"
"Flush all caches after settings saving","Обновить все кеши после сохранения настроек"
"Delivery settings","Настройки доставки"
"Payment type","Тип оплаты"
"Just copy, paste and press Save Config","Просто скопируйте данные, вставьте в поле и нажмите Сохранить"
"Client ID","ID клиента"
"If you have FPC or Varnish caching - better to turn it off.","Если у вас используется полностраничное кеширование или Varnish - лучше выключить эту опцию."
"Delivery type","Тип доставки"
"Home city","Город отправки"
"Cash","Наличные"
"Pre-paid","Предоплата"
"Dimensions section","Настройки габаритов"
"To door","До двери"
"Self-pickup","До пункта выдачи заказов"
"Calculate that we send only one default product","Считать, что мы отправляем один товар стандартного размера"
"For calculating and shipping we will always send one product","Для рассчета и запроса будем считать, что отправляем один товар"
"Attribute for length","Атрибут длины"
"Attribute for width","Атрибут ширины"
"Attribute for height","Атрибут высоты"
"Attribute for weight","Атрибут веса"
"Weight unit","Единица измерения веса"
"Size unit","Единица измерения габаритов"
"One weight","Стандартный вес"
"One length","Стандартная длина"
"One width","Стандартная ширина"
"One height","Стандартная высота"
"Centimeter","Сантиметр"
"Meter","Метр"
"Gram","Грамм"
"Kilogram","Килограмм"
"Technical section",""
"Enable internal jQuery","Включить библиотеку jQuery"
"Enable internal jQuery UI","Включить библиотеку jQuery UI"
"Autocomplete street and city helper","Аякс подсказки города и улицы"
"Debug","Режим отладки"
"Yandexdelivery shipping","Яндекс Доставка"
"Status Date","Дата"
"Description","Комментарии"
"Uniform status","Общий статус"
"Status","Статус"
"This order can\'t be shipped","Заказ не может быть отправлен"
"Send template and confirm order shipment","Отправить черновик заказа и подтвердить его"
"Import","Самопривоз заказов"
"Withdraw","Забор заказов"
"Confirm order","Подтвердить отправку заказа"
"No usage","Не используется"
"Enabled in backend","Включить в панели администрирования"
"Moscow","Москва"
"Saint-Petersburg","Санкт-Петербург"
"RussianPost","Почта РФ"
"Manage Shipments","Управление доставками"
"Manage Parcels","Управление отгрузками (парселями)"
"Get label PDF","Получить PDF накладную заказа"
"Delete order","Отменить заказ"
"Order template has been successfully created","Черновик заказа был успешно создан"
"Order was not confirmed","Черновик заказа не был подтвержден"
"Order template has been successfully confirmed","Черновик заказа был успешно подтвержден"
"Dispatch from","Отправка по умолчанию"
"Default dispatch type","Способ отправки заказов по умолчанию"
"Directly to delivery service","Напрямую в службу доставки"
"Through root warehouse","Через единый склад"
"Extension instructions","Инструкция к модулю"
"View order in Yandex Delivery","Посмотреть заказ на сайте Яндекс Доставки"
"Choose warehouse","Выберите склад"
"Choose sender","Выберите отправителя"
"Choose requisite","Выберите реквизиты"
"Dispatch type","Способ отправки"
"Shipment date","Дата отправки"
"Update template","Обновить черновик"
"Destination street","Улица получателя"
"Destination house","Номер дома получателя"
"Yandex Delivery Courier","Яндекс Доставка Курьер"
"Yandex Delivery PVZ","Яндекс Доставка Самовывоз"
"Yandex Delivery Postmail","Яндекс Доставка Почта РФ"
"Tax settings","Настройки системы налогообложения"
"Tax for all products","Единая ставка на все товары"
"Tax type","Вид НС"
"Attribute for product tax","Атрибут для получения значения налоговой ставки"